"function","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.02048,1,65.761,46.5,46.5,0
0.021085,1,65.938,46.625,46.625,0
0.021688,1,66.114,46.75,46.75,0
0.022291,1,66.291,46.875,46.875,0
0.022892,1,66.468,47,47,0
0.023441,1,66.645,47.125,47.125,0
0.023989,1,66.822,47.25,47.25,0
0.024536,1,66.998,47.375,47.375,0
0.025082,1,67.175,47.5,47.5,0
0.025627,1,67.352,47.625,47.625,0
0.026171,1,67.529,47.75,47.75,0
0.026714,1,67.705,47.875,47.875,0
0.027256,1,67.882,48,48,0
0.027721,1,68.059,48.125,48.125,0
0.028186,1,68.236,48.25,48.25,0
0.02865,1,68.413,48.375,48.375,0
0.029113,1,68.589,48.5,48.5,0
0.029575,1,68.766,48.625,48.625,0
0.030036,1,68.943,48.75,48.75,0
0.030497,1,69.12,48.875,48.875,0
0.030956,1,69.296,49,49,0
0.031319,1,69.473,49.125,49.125,0
0.031682,1,69.65,49.25,49.25,0
0.032044,1,69.827,49.375,49.375,0
0.032405,1,70.004,49.5,49.5,0
0.032766,1,70.18,49.625,49.625,0
0.033125,1,70.357,49.75,49.75,0
0.033484,1,70.534,49.875,49.875,0
0.033843,1,70.711,50,50,0
0.03409,1,70.887,50.125,50.125,0
0.034337,1,71.064,50.25,50.25,0
0.034583,1,71.241,50.375,50.375,0
0.034829,1,71.418,50.5,50.5,0
0.035074,1,71.595,50.625,50.625,0
0.035319,1,71.771,50.75,50.75,0
0.035563,1,71.948,50.875,50.875,0
0.035807,1,72.125,51,51,0
0.03593,1,72.302,51.125,51.125,0
0.036053,1,72.478,51.25,51.25,0
0.036176,1,72.655,51.375,51.375,0
0.036299,1,72.832,51.5,51.5,0
0.036421,1,73.009,51.625,51.625,0
0.036543,1,73.186,51.75,51.75,0
0.036664,1,73.362,51.875,51.875,0
0.036785,1,73.539,52,52,0
0.036783,1,73.716,52.125,52.125,0
0.03678,1,73.893,52.25,52.25,0
0.036777,1,74.069,52.375,52.375,0
0.036775,1,74.246,52.5,52.5,0
0.036772,1,74.423,52.625,52.625,0
0.036769,1,74.6,52.75,52.75,0
0.036766,1,74.777,52.875,52.875,0
0.036762,1,74.953,53,53,0
0.036638,1,75.13,53.125,53.125,0
0.036514,1,75.307,53.25,53.25,0
0.036389,1,75.484,53.375,53.375,0
0.036265,1,75.66,53.5,53.5,0
0.036141,1,75.837,53.625,53.625,0
0.036017,1,76.014,53.75,53.75,0
0.035893,1,76.191,53.875,53.875,0
0.03577,1,76.368,54,54,0
0.035533,1,76.544,54.125,54.125,0
0.035296,1,76.721,54.25,54.25,0
0.03506,1,76.898,54.375,54.375,0
0.034823,1,77.075,54.5,54.5,0
0.034588,1,77.251,54.625,54.625,0
0.034352,1,77.428,54.75,54.75,0
0.034117,1,77.605,54.875,54.875,0
0.033882,1,77.782,55,55,0
0.033547,1,77.959,55.125,55.125,0
0.033212,1,78.135,55.25,55.25,0
0.032878,1,78.312,55.375,55.375,0
0.032545,1,78.489,55.5,55.5,0
0.032212,1,78.666,55.625,55.625,0
0.031879,1,78.842,55.75,55.75,0
0.031547,1,79.019,55.875,55.875,0
0.031215,1,79.196,56,56,0
0.030801,1,79.373,56.125,56.125,0
0.030387,1,79.55,56.25,56.25,0
0.029973,1,79.726,56.375,56.375,0
0.029561,1,79.903,56.5,56.5,0
0.029149,1,80.08,56.625,56.625,0
0.028737,1,80.257,56.75,56.75,0
0.028327,1,80.433,56.875,56.875,0
0.027917,1,80.61,57,57,0
0.027444,1,80.787,57.125,57.125,0
0.026973,1,80.964,57.25,57.25,0
0.026502,1,81.141,57.375,57.375,0
0.026032,1,81.317,57.5,57.5,0
0.025563,1,81.494,57.625,57.625,0
0.025095,1,81.671,57.75,57.75,0
0.024627,1,81.848,57.875,57.875,0
0.024161,1,82.024,58,58,0
0.023655,1,82.201,58.125,58.125,0
0.023149,1,82.378,58.25,58.25,0
0.022645,1,82.555,58.375,58.375,0
0.022142,1,82.731,58.5,58.5,0
0.021639,1,82.908,58.625,58.625,0
0.021138,1,83.085,58.75,58.75,0
0.020637,1,83.262,58.875,58.875,0
0.020137,1,83.439,59,59,0
0.019622,1,83.615,59.125,59.125,0
0.019109,1,83.792,59.25,59.25,0
0.018596,1,83.969,59.375,59.375,0
0.018084,1,84.146,59.5,59.5,0
0.017573,1,84.322,59.625,59.625,0
0.017062,1,84.499,59.75,59.75,0
0.016553,1,84.676,59.875,59.875,0
0.016045,1,84.853,60,60,0
0.015546,1,85.03,60.125,60.125,0
0.015048,1,85.206,60.25,60.25,0
0.014551,1,85.383,60.375,60.375,0
0.014055,1,85.56,60.5,60.5,0
0.01356,1,85.737,60.625,60.625,0
0.013065,1,85.913,60.75,60.75,0
0.012572,1,86.09,60.875,60.875,0
0.012079,1,86.267,61,61,0
0.01162,1,86.444,61.125,61.125,0
0.011161,1,86.621,61.25,61.25,0
0.010703,1,86.797,61.375,61.375,0
0.010246,1,86.974,61.5,61.5,0
0.0097901,1,87.151,61.625,61.625,0
0.0093348,1,87.328,61.75,61.75,0
